# KRName IVSes
7CE7 FE00; Standardized_Variants; CID+30777
7D10 FE00; Standardized_Variants; CID+30865
7D22 FE00; Standardized_Variants; CID+30907
7D2F FE00; Standardized_Variants; CID+30929
7DA0 FE00; Standardized_Variants; CID+31155
7DBE FE00; Standardized_Variants; CID+31220
7DF4 FE00; Standardized_Variants; CID+58992
7E37 FE00; Standardized_Variants; CID+31480
7F79 FE00; Standardized_Variants; CID+31995
7F85 FE00; Standardized_Variants; CID+32018
7F9A FE00; Standardized_Variants; CID+32056
8001 FE00; Standardized_Variants; CID+32300
8046 FE00; Standardized_Variants; CID+32434
806F FE00; Standardized_Variants; CID+32511
807E FE00; Standardized_Variants; CID+32547
808B FE00; Standardized_Variants; CID+32571
81D8 FE00; Standardized_Variants; CID+33274
81E8 FE00; Standardized_Variants; CID+33312
826F FE00; Standardized_Variants; CID+33631
82E5 FE00; Standardized_Variants; CID+33874
8336 FE00; Standardized_Variants; CID+34043
83C9 FE00; Standardized_Variants; CID+34332
83F1 FE00; Standardized_Variants; CID+34421
843D FE00; Standardized_Variants; CID+34587
8449 FE00; Standardized_Variants; CID+34613
84EE FE00; Standardized_Variants; CID+58904
84FC FE00; Standardized_Variants; CID+35034
85CD FE00; Standardized_Variants; CID+35544
85FA FE00; Standardized_Variants; CID+35656
8606 FE00; Standardized_Variants; CID+35689
862D FE00; Standardized_Variants; CID+58898
863F FE00; Standardized_Variants; CID+35830
865C FE00; Standardized_Variants; CID+58901
87BA FE00; Standardized_Variants; CID+36471
881F FE00; Standardized_Variants; CID+36658
884C FE00; Standardized_Variants; CID+36742
88C2 FE00; Standardized_Variants; CID+36944
88CF FE00; Standardized_Variants; CID+36970
88E1 FE00; Standardized_Variants; CID+37012
88F8 FE00; Standardized_Variants; CID+37059
8964 FE00; Standardized_Variants; CID+37294
898B FE00; Standardized_Variants; CID+37382
8AAA FE00; Standardized_Variants; CID+37921
8AAA FE01; Standardized_Variants; CID+37921
8AD2 FE00; Standardized_Variants; CID+38005
8AD6 FE00; Standardized_Variants; CID+38014
8AFE FE00; Standardized_Variants; CID+38097
8B58 FE00; Standardized_Variants; CID+38307
8B80 FE00; Standardized_Variants; CID+38391
8C48 FE00; Standardized_Variants; CID+38650
8CC2 FE00; Standardized_Variants; CID+38859
8CC8 FE00; Standardized_Variants; CID+38871
8DEF FE00; Standardized_Variants; CID+39297
8ECA FE00; Standardized_Variants; CID+39692
8F26 FE00; Standardized_Variants; CID+39826
8F2A FE00; Standardized_Variants; CID+39834
8F3B FE00; Standardized_Variants; CID+39871
8F62 FE00; Standardized_Variants; CID+39947
8FB0 FE00; Standardized_Variants; CID+40048
9023 FE00; Standardized_Variants; CID+58905
907C FE00; Standardized_Variants; CID+58907
908F FE00; Standardized_Variants; CID+40645
90CE FE00; Standardized_Variants; CID+40741
90DE FE00; Standardized_Variants; CID+40765
916A FE00; Standardized_Variants; CID+41029
91B4 FE00; Standardized_Variants; CID+41201
91CC FE00; Standardized_Variants; CID+41256
91CF FE00; Standardized_Variants; CID+41259
91D1 FE00; Standardized_Variants; CID+41262
9234 FE00; Standardized_Variants; CID+41444
9304 FE00; Standardized_Variants; CID+41847
934A FE00; Standardized_Variants; CID+41981
95AD FE00; Standardized_Variants; CID+42945
962E FE00; Standardized_Variants; CID+43123
964B FE00; Standardized_Variants; CID+43161
964D FE00; Standardized_Variants; CID+63012
9675 FE00; Standardized_Variants; CID+43229
9678 FE00; Standardized_Variants; CID+43237
9686 FE00; Standardized_Variants; CID+58909
96A3 FE00; Standardized_Variants; CID+63018
96B7 FE00; Standardized_Variants; CID+43358
96B8 FE00; Standardized_Variants; CID+43359
96E2 FE00; Standardized_Variants; CID+43450
96F6 FE00; Standardized_Variants; CID+43487
96F7 FE00; Standardized_Variants; CID+43490
9732 FE00; Standardized_Variants; CID+43618
9748 FE00; Standardized_Variants; CID+43667
9818 FE00; Standardized_Variants; CID+44032
985E FE00; Standardized_Variants; CID+58908
99F1 FE00; Standardized_Variants; CID+44881
9A6A FE00; Standardized_Variants; CID+45105
9B6F FE00; Standardized_Variants; CID+45634
9C57 FE00; Standardized_Variants; CID+46019
9DFA FE00; Standardized_Variants; CID+46662
9E1E FE00; Standardized_Variants; CID+46729
9E7F FE00; Standardized_Variants; CID+46832
9E97 FE00; Standardized_Variants; CID+63110
9E9F FE00; Standardized_Variants; CID+46925
9ECE FE00; Standardized_Variants; CID+47050
9F8D FE00; Standardized_Variants; CID+47484
9F9C FE00; Standardized_Variants; CID+63129
9F9C FE01; Standardized_Variants; CID+63129
# Unicode Version 9.0 SVSes
0030 FE00; Standardized_Variants; CID+63141
# Unicode Version 12.0 SVSes
3001 FE00; Standardized_Variants; CID+1397
3001 FE01; Standardized_Variants; CID+63176
3002 FE00; Standardized_Variants; CID+1398
3002 FE01; Standardized_Variants; CID+63177
FF01 FE00; Standardized_Variants; CID+63178
FF01 FE01; Standardized_Variants; CID+59085
FF0C FE00; Standardized_Variants; CID+59096
FF0C FE01; Standardized_Variants; CID+63179
FF0E FE00; Standardized_Variants; CID+59098
FF0E FE01; Standardized_Variants; CID+63180
FF1A FE00; Standardized_Variants; CID+63181
FF1A FE01; Standardized_Variants; CID+59110
FF1B FE00; Standardized_Variants; CID+63182
FF1B FE01; Standardized_Variants; CID+59111
FF1F FE00; Standardized_Variants; CID+63183
FF1F FE01; Standardized_Variants; CID+59115
# EOF
